X-values,X-error,Y-values,Y-error
-10.0,0.1,0.04137322766760758,0.1
-9.9,0.1,-0.44650958824870207,0.1
-9.8,0.1,0.9691639691877548,0.1
-9.7,0.1,-0.2955072776626264,0.1
-9.6,0.1,0.14401134516102923,0.1
-9.5,0.1,0.462385831458244,0.1
-9.4,0.1,0.36245464696394375,0.1
-9.3,0.1,-0.5672945512429262,0.1
-9.2,0.1,-0.22996268863451155,0.1
-9.1,0.1,0.3377965448579898,0.1
-9.0,0.1,0.9902616178061936,0.1
-8.9,0.1,0.5669942204547177,0.1
-8.8,0.1,-0.10428942985662674,0.1
-8.7,0.1,0.890282750913917,0.1
-8.6,0.1,0.7386868981287209,0.1
-8.5,0.1,0.7561100435191525,0.1
-8.4,0.1,0.8777219250719448,0.1
-8.3,0.1,0.385835792026184,0.1
-8.2,0.1,0.8681963436798694,0.1
-8.1,0.1,1.0447543890892135,0.1
-8.0,0.1,1.1015380216033859,0.1
-7.9,0.1,0.8591138831487247,0.1
-7.8,0.1,0.9113123510759138,0.1
-7.7,0.1,0.9030646505674275,0.1
-7.6,0.1,0.9237241298593726,0.1
-7.5,0.1,0.8262323311860202,0.1
-7.4,0.1,0.7820247354989311,0.1
-7.3,0.1,0.956341701820995,0.1
-7.2,0.1,1.0377379831482638,0.1
-7.1,0.1,0.9046458590095523,0.1
-7.0,0.1,0.838152642034796,0.1
-6.9,0.1,1.1372738971383654,0.1
-6.8,0.1,0.372788260790652,0.1
-6.7,0.1,0.8877938449741897,0.1
-6.6,0.1,0.8881563209297788,0.1
-6.5,0.1,0.6197873161968529,0.1
-6.4,0.1,0.8195348172724127,0.1
-6.3,0.1,0.8046721858513503,0.1
-6.2,0.1,0.8116485337053468,0.1
-6.1,0.1,0.8868481656316105,0.1
-6.0,0.1,1.0773300025946873,0.1
-5.9,0.1,0.3753454828923652,0.1
-5.8,0.1,0.43683181782800623,0.1
-5.7,0.1,0.9109344278344347,0.1
-5.6,0.1,-0.18760026230790483,0.1
-5.5,0.1,0.26409012611392557,0.1
-5.4,0.1,0.34070342969111733,0.1
-5.3,0.1,0.44985325647809093,0.1
-5.2,0.1,0.6833857550636449,0.1
-5.1,0.1,0.7874105841816886,0.1
-5.0,0.1,0.19187791701019108,0.1
-4.9,0.1,-0.22104192119796373,0.1
-4.8,0.1,-0.15403809184741088,0.1
-4.7,0.1,-0.1052466998763423,0.1
-4.6,0.1,-0.47894521634374526,0.1
-4.5,0.1,-0.6535864961753347,0.1
-4.4,0.1,-0.34045063129289366,0.1
-4.3,0.1,-0.31755551582665875,0.1
-4.2,0.1,0.028079429498002417,0.1
-4.1,0.1,-0.48830971635868986,0.1
-4.0,0.1,-0.809581055281067,0.1
-3.9,0.1,-0.823083720621583,0.1
-3.8,0.1,-0.5478877606257742,0.1
-3.7,0.1,-0.7912366815282903,0.1
-3.6,0.1,-0.8936965668308079,0.1
-3.5,0.1,-0.8386322061012563,0.1
-3.4,0.1,-0.7031319554902099,0.1
-3.3,0.1,-0.9033059954537598,0.1
-3.2,0.1,-0.8251165310365103,0.1
-3.1,0.1,-1.050055614654022,0.1
-3.0,0.1,-0.8396386178968055,0.1
-2.9,0.1,-1.0371448904814664,0.1
-2.8,0.1,-0.9116535816210067,0.1
-2.7,0.1,-1.043984483910593,0.1
-2.6,0.1,-1.0334537419726593,0.1
-2.5,0.1,-1.0057236969420673,0.1
-2.4,0.1,-0.8895459941266227,0.1
-2.3,0.1,-1.0038761325773542,0.1
-2.2,0.1,-0.8951308541125753,0.1
-2.1,0.1,-0.929142012948803,0.1
-2.0,0.1,-1.0629526360446233,0.1
-1.9,0.1,-0.8727044267347452,0.1
-1.8,0.1,-0.9991338484523117,0.1
-1.7,0.1,-0.8202437692256832,0.1
-1.6,0.1,-1.008995243926866,0.1
-1.5,0.1,-0.7900073439687135,0.1
-1.4,0.1,-0.7322236605688401,0.1
-1.3,0.1,-0.7900347421511204,0.1
-1.2,0.1,-0.7030745503868682,0.1
-1.1,0.1,-0.6708839754319665,0.1
-1.0,0.1,-0.566467195543979,0.1
-0.9,0.1,-0.48437184538609185,0.1
-0.8,0.1,-0.4466852582847826,0.1
-0.7,0.1,-0.427547413845006,0.1
-0.6,0.1,-0.37136964046048915,0.1
-0.5,0.1,-0.3423454729642236,0.1
-0.4,0.1,-0.28651314828555396,0.1
-0.3,0.1,-0.1769021955648634,0.1
-0.2,0.1,-0.1157770687477265,0.1
-0.1,0.1,-0.06244749918777082,0.1
0.0,0.1,0.0,0.1
0.1,0.1,0.060435134109983926,0.1
0.2,0.1,0.10956674763138567,0.1
0.3,0.1,0.16067712274010662,0.1
0.4,0.1,0.2965537515352644,0.1
0.5,0.1,0.23842919546079547,0.1
0.6,0.1,0.42339755833144943,0.1
0.7,0.1,0.347350660313318,0.1
0.8,0.1,0.589181475993704,0.1
0.9,0.1,0.5022704827246753,0.1
1.0,0.1,0.6488226964248396,0.1
1.1,0.1,0.4827263140719433,0.1
1.2,0.1,0.5695394413373358,0.1
1.3,0.1,0.5940554507077184,0.1
1.4,0.1,0.8738064974050042,0.1
1.5,0.1,0.7641597177330532,0.1
1.6,0.1,0.6812200395863549,0.1
1.7,0.1,0.8419161691968384,0.1
1.8,0.1,0.8342873569486472,0.1
1.9,0.1,0.9329942614574914,0.1
2.0,0.1,0.9824626495146462,0.1
2.1,0.1,1.0864146409286415,0.1
2.2,0.1,0.9396194213238711,0.1
2.3,0.1,1.091493494500962,0.1
2.4,0.1,0.9354385065445112,0.1
2.5,0.1,1.0521785520998017,0.1
2.6,0.1,1.1750076442254909,0.1
2.7,0.1,0.904477985242301,0.1
2.8,0.1,0.9916177318741238,0.1
2.9,0.1,0.983666666680489,0.1
3.0,0.1,0.9319615430438863,0.1
3.1,0.1,0.8894588125958225,0.1
3.2,0.1,0.897304285585441,0.1
3.3,0.1,0.8956858683546391,0.1
3.4,0.1,0.9692955669515817,0.1
3.5,0.1,0.5327700899157339,0.1
3.6,0.1,0.4206001879910731,0.1
3.7,0.1,0.7897939507856464,0.1
3.8,0.1,0.8683058478709169,0.1
3.9,0.1,0.8612644499998522,0.1
4.0,0.1,0.31262597246957297,0.1
4.1,0.1,0.6451036271772871,0.1
4.2,0.1,0.6212934959535241,0.1
4.3,0.1,0.5374606112193367,0.1
4.4,0.1,0.5762699217365305,0.1
4.5,0.1,0.43275367149700383,0.1
4.6,0.1,0.09723899581485482,0.1
4.7,0.1,0.18556906833049372,0.1
4.8,0.1,0.2895241669618823,0.1
4.9,0.1,0.07456193550266894,0.1
5.0,0.1,-0.1603833415969167,0.1
5.1,0.1,-0.007387539450851009,0.1
5.2,0.1,-0.2055824027600308,0.1
5.3,0.1,0.12426771442399469,0.1
5.4,0.1,0.026910395957988612,0.1
5.5,0.1,-0.6720850564983326,0.1
5.6,0.1,-0.7100902425713512,0.1
5.7,0.1,-0.11292853006269504,0.1
5.8,0.1,-0.49992277510813043,0.1
5.9,0.1,0.11898867881515617,0.1
6.0,0.1,-0.36850365830655124,0.1
6.1,0.1,-0.6756129306491002,0.1
6.2,0.1,-0.73367993541648,0.1
6.3,0.1,-0.854268075685051,0.1
6.4,0.1,-0.6205243389861014,0.1
