Messung Nr,Photonen
0,36
1,32
2,16
3,24
4,46
5,27
6,29
7,28
8,45
9,35
10,30
11,25
12,19
13,52
14,43
15,33
16,54
17,29
18,25
19,31
20,2
21,55
22,59
23,42
24,41
25,39
26,26
27,38
28,34
29,36
30,46
31,51
32,35
33,39
34,64
35,36
36,25
37,21
38,46
39,48
40,23
41,35
42,32
43,31
44,22
45,14
46,41
47,37
48,40
49,36
50,47
51,38
52,46
53,41
54,35
55,54
56,42
57,35
58,31
59,36
60,30
61,35
62,38
63,15
64,38
65,34
66,43
67,23
68,32
69,45
70,33
71,22
72,37
73,28
74,26
75,41
76,34
77,46
78,45
79,47
80,35
81,18
82,36
83,39
84,29
85,30
86,20
87,26
88,27
89,15
90,47
91,15
92,48
93,31
94,42
95,27
96,17
97,36
98,41
99,25
100,36
101,51
102,32
103,15
104,47
105,43
106,27
107,32
108,30
109,34
110,65
111,32
112,25
113,35
114,43
115,48
116,33
117,30
118,42
119,34
120,25
121,30
122,33
123,42
124,29
125,35
126,31
127,48
128,47
129,25
130,50
131,19
132,42
133,33
134,39
135,24
136,30
137,48
138,40
139,36
140,47
141,40
142,23
143,43
144,28
145,17
146,43
147,25
148,20
149,32
150,34
151,52
152,40
153,31
154,33
155,33
156,48
157,35
158,21
159,39
160,24
161,31
162,23
163,34
164,51
165,41
166,40
167,39
168,39
169,25
170,31
171,33
172,32
173,54
174,26
175,35
176,33
177,32
178,36
179,8
180,31
181,31
182,45
183,35
184,36
185,18
186,41
187,45
188,42
189,35
190,52
191,45
192,51
193,37
194,30
195,41
196,44
197,30
198,44
199,41
200,39
201,33
202,47
203,29
204,27
205,37
206,44
207,32
208,24
209,48
210,31
211,17
212,44
213,38
214,28
215,15
216,36
217,42
218,37
219,54
220,50
221,33
222,29
223,52
224,24
225,31
226,35
227,29
228,31
229,40
230,32
231,29
232,49
233,22
234,47
235,43
236,23
237,40
238,32
239,27
240,27
241,49
242,32
243,33
244,37
245,32
246,49
247,31
248,36
249,27
250,31
251,45
252,33
253,28
254,36
255,17
256,31
257,48
258,46
259,29
260,42
261,26
262,39
263,51
264,30
265,39
266,37
267,38
268,29
269,33
270,15
271,44
272,27
273,14
274,24
275,47
276,40
277,28
278,21
279,18
280,31
281,31
282,31
283,44
284,32
285,37
286,25
287,41
288,45
289,40
290,49
291,37
292,26
293,30
294,31
295,24
296,29
297,28
298,31
299,39
300,41
301,34
302,26
303,40
304,25
305,42
306,35
307,23
308,19
309,36
310,23
311,45
312,43
313,33
314,35
315,38
316,56
317,43
318,36
319,52
320,48
321,49
322,32
323,31
324,52
325,36
326,36
327,39
328,27
329,29
330,25
331,47
332,23
333,38
334,36
335,42
336,26
337,46
338,32
339,46
340,53
341,28
342,40
343,27
344,28
345,32
346,47
347,29
348,39
349,31
350,54
351,52
352,37
353,46
354,44
355,30
356,18
357,24
358,33
359,22
360,41
361,15
362,32
363,41
364,40
365,46
366,55
367,17
368,23
369,46
370,41
371,41
372,33
373,29
374,32
375,27
376,37
377,45
378,39
379,16
380,25
381,33
382,33
383,34
384,47
385,32
386,39
387,12
388,44
389,33
390,29
391,23
392,28
393,44
394,30
395,34
396,35
397,46
398,42
399,33
400,43
401,36
402,31
