# Gaussfunctions
#        x,    Func 1,    Func 2
 0.0000000, 1.0000000,-1.0000000
 0.1000000, 1.0000000,-1.0000000
 0.2000000, 1.0000000,-1.0000000
 0.3000000, 1.0000000,-1.0000000
 0.4000000, 1.0000000,-1.0000000
 0.5000000, 1.0000000,-1.0000000
 0.6000000, 1.0000000,-1.0000000
 0.7000000, 1.0000000,-1.0000000
 0.8000000, 1.0000000,-1.0000000
 0.9000000, 1.0000000,-1.0000000
 1.0000000, 1.0000000,-1.0000000
 1.1000000, 1.0000000,-1.0000000
 1.2000000, 1.0000000,-1.0000000
 1.3000000, 1.0000000,-1.0000000
 1.4000000, 1.0000000,-1.0000000
 1.5000000, 1.0000000,-1.0000000
 1.6000000, 1.0000000,-1.0000000
 1.7000000, 1.0000000,-1.0000000
 1.8000000, 1.0000000,-1.0000000
 1.9000000, 1.0000000,-1.0000000
 2.0000000, 1.0000000,-1.0000000
 2.1000000, 1.0000000,-1.0000000
 2.2000000, 1.0000000,-1.0000000
 2.3000000, 1.0000000,-1.0000000
 2.4000000, 1.0000000,-1.0000000
 2.5000000, 1.0000000,-1.0000000
 2.6000000, 1.0000000,-1.0000000
 2.7000000, 1.0000000,-1.0000000
 2.8000000, 1.0000000,-1.0000000
 2.9000000, 1.0000000,-1.0000000
 3.0000000, 1.0000000,-1.0000000
 3.1000000, 1.0000000,-1.0000000
 3.2000000, 1.0000000,-1.0000000
 3.3000000, 1.0000000,-1.0000000
 3.4000000, 1.0000000,-1.0000000
 3.5000000, 1.0000000,-1.0000000
 3.6000000, 1.0000000,-1.0000000
 3.7000000, 1.0000000,-1.0000000
 3.8000000, 1.0000000,-1.0000000
 3.9000000, 1.0000000,-1.0000000
 4.0000000, 1.0000000,-1.0000000
 4.1000000, 1.0000000,-1.0000000
 4.2000000, 1.0000000,-1.0000000
 4.3000000, 1.0000000,-1.0000000
 4.4000000, 1.0000000,-1.0000000
 4.5000000, 1.0000000,-1.0000000
 4.6000000, 1.0000000,-1.0000000
 4.7000000, 1.0000000,-1.0000000
 4.8000000, 1.0000000,-1.0000000
 4.9000000, 1.0000000,-1.0000000
 5.0000000, 1.0000000,-1.0000000
 5.1000000, 1.0000000,-1.0000000
 5.2000000, 1.0000000,-1.0000000
 5.3000000, 1.0000000,-1.0000000
 5.4000000, 1.0000000,-1.0000000
 5.5000000, 1.0000000,-1.0000000
 5.6000000, 1.0000000,-1.0000000
 5.7000000, 1.0000000,-1.0000000
 5.8000000, 1.0000000,-1.0000000
 5.9000000, 1.0000000,-1.0000000
 6.0000000, 1.0000000,-1.0000000
 6.1000000, 1.0000000,-1.0000000
 6.2000000, 1.0000000,-1.0000000
 6.3000000, 1.0000000,-1.0000000
 6.4000000, 1.0000000,-1.0000000
 6.5000000, 1.0000000,-1.0000000
 6.6000000, 1.0000000,-1.0000000
 6.7000000, 1.0000000,-1.0000000
 6.8000000, 1.0000000,-1.0000000
 6.9000000, 1.0000000,-1.0000000
 7.0000000, 1.0000000,-1.0000000
 7.1000000, 1.0000000,-1.0000000
 7.2000000, 1.0000000,-1.0000000
 7.3000000, 1.0000000,-1.0000000
 7.4000000, 1.0000000,-1.0000000
 7.5000000, 1.0000000,-1.0000000
 7.6000000, 1.0000000,-1.0000000
 7.7000000, 1.0000000,-1.0000000
 7.8000000, 1.0000000,-1.0000000
 7.9000000, 1.0000000,-1.0000000
 8.0000000, 1.0000000,-1.0000000
 8.1000000, 1.0000000,-1.0000000
 8.2000000, 1.0000000,-1.0000000
 8.3000000, 1.0000000,-1.0000000
 8.4000000, 1.0000000,-1.0000000
 8.5000000, 1.0000000,-1.0000000
 8.6000000, 1.0000000,-1.0000000
 8.7000000, 1.0000000,-1.0000000
 8.8000000, 1.0000000,-1.0000000
 8.9000000, 1.0000000,-1.0000000
 9.0000000, 1.0000000,-1.0000000
 9.1000000, 1.0000000,-1.0000000
 9.2000000, 1.0000000,-1.0000000
 9.3000000, 1.0000000,-1.0000000
 9.4000000, 1.0000000,-1.0000000
 9.5000000, 1.0000000,-1.0000000
 9.6000000, 1.0000000,-1.0000000
 9.7000000, 1.0000000,-1.0000000
 9.8000000, 1.0000000,-1.0000000
 9.9000000, 1.0000000,-1.0000000
10.0000000, 1.0000000,-1.0000000
10.1000000, 1.0000000,-1.0000000
10.2000000, 1.0000000,-1.0000000
10.3000000, 1.0000000,-1.0000000
10.4000000, 1.0000000,-1.0000000
10.5000000, 1.0000000,-1.0000000
10.6000000, 1.0000000,-1.0000000
10.7000000, 1.0000000,-1.0000000
10.8000000, 1.0000000,-1.0000000
10.9000000, 1.0000000,-1.0000000
11.0000000, 1.0000000,-1.0000000
11.1000000, 1.0000000,-1.0000000
11.2000000, 1.0000000,-1.0000000
11.3000000, 1.0000000,-1.0000000
11.4000000, 1.0000000,-1.0000000
11.5000000, 1.0000000,-1.0000000
11.6000000, 1.0000000,-1.0000000
11.7000000, 1.0000000,-1.0000000
11.8000000, 1.0000000,-1.0000000
11.9000000, 1.0000000,-1.0000000
12.0000000, 1.0000000,-1.0000000
12.1000000, 1.0000000,-1.0000000
12.2000000, 1.0000000,-1.0000000
12.3000000, 1.0000000,-1.0000000
12.4000000, 1.0000000,-1.0000000
12.5000000, 1.0000000,-1.0000000
12.6000000, 1.0000000,-1.0000000
12.7000000, 1.0000000,-1.0000000
12.8000000, 1.0000000,-1.0000000
12.9000000, 1.0000000,-1.0000000
13.0000000, 1.0000000,-1.0000000
13.1000000, 1.0000000,-1.0000000
13.2000000, 1.0000000,-1.0000000
13.3000000, 1.0000000,-1.0000000
13.4000000, 1.0000000,-1.0000000
13.5000000, 1.0000000,-1.0000000
13.6000000, 1.0000000,-1.0000000
13.7000000, 1.0000000,-1.0000000
13.8000000, 1.0000000,-1.0000000
13.9000000, 1.0000000,-1.0000000
14.0000000, 1.0000000,-1.0000000
14.1000000, 1.0000000,-1.0000000
14.2000000, 1.0000000,-1.0000000
14.3000000, 1.0000000,-1.0000000
14.4000000, 1.0000000,-1.0000000
14.5000000, 1.0000000,-1.0000000
14.6000000, 1.0000000,-1.0000000
14.7000000, 1.0000000,-1.0000000
14.8000000, 1.0000000,-1.0000000
14.9000000, 1.0000000,-1.0000000
15.0000000, 1.0000000,-1.0000000
15.1000000, 1.0000000,-1.0000000
15.2000000, 1.0000000,-1.0000000
15.3000000, 1.0000000,-1.0000000
15.4000000, 1.0000000,-1.0000000
15.5000000, 1.0000000,-1.0000000
15.6000000, 1.0000000,-1.0000000
15.7000000, 1.0000000,-1.0000000
15.8000000, 1.0000000,-1.0000000
15.9000000, 1.0000000,-1.0000000
16.0000000, 1.0000000,-1.0000000
16.1000000, 1.0000000,-1.0000000
16.2000000, 1.0000000,-1.0000000
16.3000000, 1.0000000,-1.0000000
16.4000000, 1.0000000,-1.0000000
16.5000000, 1.0000000,-1.0000000
16.6000000, 1.0000000,-1.0000000
16.7000000, 1.0000000,-1.0000000
16.8000000, 1.0000000,-1.0000000
16.9000000, 1.0000000,-1.0000000
17.0000000, 1.0000000,-1.0000000
17.1000000, 1.0000000,-1.0000000
17.2000000, 1.0000000,-1.0000000
17.3000000, 1.0000000,-1.0000000
17.4000000, 1.0000000,-1.0000000
17.5000000, 1.0000000,-1.0000000
17.6000000, 1.0000000,-1.0000000
17.7000000, 1.0000000,-1.0000000
17.8000000, 1.0000000,-1.0000000
17.9000000, 1.0000000,-1.0000000
18.0000000, 1.0000000,-1.0000000
18.1000000, 1.0000000,-1.0000000
18.2000000, 1.0000000,-1.0000000
18.3000000, 1.0000000,-1.0000000
18.4000000, 1.0000000,-1.0000000
18.5000000, 1.0000000,-1.0000000
18.6000000, 1.0000000,-1.0000000
18.7000000, 1.0000000,-1.0000000
18.8000000, 1.0000000,-1.0000000
18.9000000, 1.0000000,-1.0000000
19.0000000, 1.0000000,-1.0000000
19.1000000, 1.0000000,-1.0000000
19.2000000, 1.0000000,-1.0000000
19.3000000, 1.0000000,-1.0000000
19.4000000, 1.0000000,-1.0000000
19.5000000, 1.0000000,-1.0000000
19.6000000, 1.0000000,-1.0000000
19.7000000, 1.0000000,-1.0000000
19.8000000, 1.0000000,-1.0000000
19.9000000, 1.0000000,-1.0000000
20.0000000, 1.0000000,-1.0000000
20.1000000, 1.0000000,-1.0000000
20.2000000, 1.0000000,-1.0000000
20.3000000, 1.0000000,-1.0000000
20.4000000, 1.0000000,-1.0000000
20.5000000, 1.0000000,-1.0000000
20.6000000, 1.0000000,-1.0000000
20.7000000, 1.0000000,-1.0000000
20.8000000, 1.0000000,-1.0000000
20.9000000, 1.0000000,-1.0000000
21.0000000, 1.0000000,-1.0000000
21.1000000, 1.0000000,-1.0000000
21.2000000, 1.0000000,-1.0000000
21.3000000, 1.0000000,-1.0000000
21.4000000, 1.0000000,-1.0000000
21.5000000, 1.0000000,-1.0000000
21.6000000, 1.0000000,-1.0000000
21.7000000, 1.0000000,-1.0000000
21.8000000, 1.0000000,-1.0000000
21.9000000, 1.0000000,-1.0000000
