Messung Nr,Photonen
0,25
1,27
2,38
3,-22
4,-33
5,13
6,22
7,17
8,23
9,-25
10,20
11,-26
12,-33
13,39
14,27
15,-30
16,15
17,32
18,-34
19,-43
20,38
21,27
22,29
23,50
24,21
25,27
26,-13
27,-31
28,43
29,-24
30,19
31,-34
32,27
33,40
34,-28
35,27
36,45
37,24
38,-20
39,27
40,-33
41,-15
42,21
43,24
44,24
45,24
46,31
47,27
48,-26
49,19
50,25
51,34
52,-7
53,-23
54,21
55,26
56,-29
57,18
58,20
59,-40
60,-35
61,23
62,12
63,-16
64,-18
65,29
66,16
67,42
68,23
69,22
70,-35
71,-22
72,-49
73,35
74,-20
75,27
76,33
77,19
78,20
79,-32
80,35
81,33
82,-28
83,43
84,-25
85,-26
86,-34
87,34
88,26
89,15
90,19
91,-26
92,-25
93,-26
94,42
95,-16
96,-26
97,-29
98,-21
99,36
100,13
101,-37
102,-28
103,-32
104,35
105,-33
106,-34
107,24
108,20
109,-22
110,26
111,-22
112,42
113,-13
114,-27
115,27
116,26
117,-11
118,-14
119,50
120,-36
121,-38
122,23
123,20
124,23
125,29
126,-26
127,-18
128,25
129,15
130,-38
131,-21
132,-29
133,-22
134,19
135,26
136,-35
137,11
138,19
139,17
140,-34
141,-31
142,-21
143,27
144,11
145,15
146,32
147,-24
148,24
149,39
150,-37
151,30
152,-35
153,28
154,-49
155,-23
156,-24
157,-20
158,26
159,8
160,35
161,40
162,-38
163,41
164,-14
165,-26
166,38
167,16
168,-28
169,-20
170,23
171,37
172,26
173,23
174,29
175,-18
176,-13
177,-23
178,33
179,-24
180,35
181,-30
182,-27
183,-23
184,23
185,-17
186,-12
187,-40
188,40
189,-14
190,-32
191,13
192,-15
193,-29
194,23
195,-28
196,-13
197,-3
198,-27
199,40
200,15
201,-7
202,53
203,-27
204,18
205,30
206,38
207,22
208,5
209,-17
210,-25
211,-13
212,22
213,18
214,37
215,20
216,30
217,22
218,19
219,-21
220,-30
221,-35
222,-51
223,30
224,22
225,42
226,-21
227,-44
228,16
229,10
230,-21
231,28
232,-29
233,-20
234,-31
235,-23
236,-30
237,18
238,-17
239,52
240,-22
241,33
242,21
243,26
244,-16
245,29
246,9
247,21
248,16
249,19
250,-45
251,-26
252,-25
253,29
254,-40
255,5
256,-22
257,-34
258,2
259,27
260,19
261,35
262,40
263,42
264,-28
265,-19
266,-42
267,33
268,18
269,23
270,-33
271,-23
272,-27
273,-35
274,40
275,16
276,-36
277,28
278,47
279,48
280,-16
281,-12
282,-24
283,25
284,24
285,-18
286,-37
287,31
288,-10
289,28
290,31
291,-15
292,11
293,-31
294,24
295,23
296,-26
297,-16
298,-37
299,-30
300,12
301,14
302,-31
303,26
304,21
305,-20
306,30
307,-18
308,13
309,46
310,-17
311,45
312,-37
313,37
314,-19
315,-37
316,-22
317,34
318,-10
319,-31
320,-16
321,-21
322,-26
323,-16
324,6
325,37
326,13
327,34
328,-26
329,-13
330,-26
331,-30
332,31
333,-24
334,9
335,13
336,-35
337,-26
338,35
339,-22
340,-23
341,-24
342,38
343,34
344,-28
345,-31
346,21
347,3
348,27
349,24
350,-36
351,38
352,-27
353,-24
354,22
355,-30
356,-29
357,15
358,-8
359,-10
360,15
361,-29
362,32
363,18
364,21
365,-21
366,15
367,26
368,16
369,-25
370,28
371,-6
372,-25
373,-22
374,-34
375,46
376,-45
377,27
378,34
379,17
380,-24
381,-7
382,-29
383,-29
384,25
385,22
386,20
387,12
388,21
389,-23
390,22
391,-35
392,-39
393,-19
394,28
395,29
396,26
397,-27
398,40
399,-15
400,-36
401,23
402,18
403,-36
404,25
405,9
406,-24
407,29
408,41
409,43
410,21
411,-13
412,-32
413,24
414,-35
415,-23
416,-17
417,-23
418,24
419,29
420,-18
421,-25
422,-19
423,-40
424,-19
425,-32
426,-29
427,-22
428,-18
429,-19
430,-24
431,-27
432,-30
433,17
434,-41
435,-25
436,35
437,-12
438,27
439,-24
440,2
441,46
442,-31
443,12
444,10
445,29
446,12
447,-18
448,16
449,36
450,28
451,14
452,-9
453,-22
454,-35
455,14
456,-39
457,15
458,-49
459,28
460,-3
461,31
462,24
463,-28
464,-23
465,9
466,-25
467,-17
468,30
469,-39
470,-4
471,27
472,-47
473,-25
474,25
475,25
476,36
477,-37
478,20
479,31
480,15
481,-17
482,-15
483,-33
484,32
485,13
486,-18
487,-21
488,-20
489,-27
490,-19
491,13
492,37
493,-38
494,33
495,25
496,-20
497,-23
498,21
499,-12
500,29
501,-38
502,44
503,-41
504,19
505,26
506,16
507,-36
508,-23
509,27
510,-26
511,-48
512,32
513,9
514,15
515,-43
516,-26
517,20
518,30
519,1
520,38
521,-27
522,24
523,-30
524,-29
525,37
526,23
527,24
528,-28
529,34
530,34
531,-30
532,-13
533,-31
534,-32
535,34
536,19
537,-21
538,-34
539,-35
540,31
541,-37
542,22
543,-12
544,-24
545,44
546,33
547,22
548,24
549,-15
550,11
551,-4
552,50
553,16
554,-2
555,-34
556,14
557,-50
558,-35
559,-24
560,25
561,-25
562,-16
563,24
564,24
565,-27
566,-28
567,28
568,-37
569,-25
570,-37
571,22
572,43
573,20
574,-9
575,19
576,36
577,-25
578,27
579,39
580,33
581,-30
582,13
583,-18
584,-24
585,22
586,33
587,-48
588,-9
589,-33
590,-6
591,-22
592,-40
593,-27
594,12
595,-21
596,22
597,-20
598,26
599,-23
600,-19
601,34
602,-17
603,-27
604,-24
605,-16
606,9
607,-20
608,29
609,16
610,14
611,31
612,30
613,15
614,34
615,-32
616,-22
617,19
618,-20
619,-18
620,-37
621,18
622,-49
623,-22
624,38
625,-29
626,-46
627,45
628,26
629,27
630,-27
631,4
632,-23
633,-31
634,18
635,29
636,45
637,-28
638,-29
639,59
640,-19
641,22
642,-25
643,-22
644,26
645,-29
646,-36
647,11
648,27
649,-23
650,36
651,19
652,-20
653,-13
654,25
655,26
656,-31
657,-17
658,-18
659,21
660,24
661,-9
662,27
663,-28
664,-29
665,28
666,-20
667,26
668,-37
669,-22
670,-34
671,20
672,-16
673,-23
674,-23
675,-26
676,-3
677,-28
678,26
679,-8
680,31
681,21
682,-17
683,31
684,11
685,36
686,-23
687,32
688,-28
689,34
690,-33
691,-18
692,-30
693,9
694,23
695,22
696,23
697,22
698,17
699,-29
700,-13
701,-45
702,-27
703,16
704,6
705,-16
706,24
707,33
708,37
709,14
710,-3
711,-25
712,28
713,15
714,28
715,-23
716,-22
717,30
718,-31
719,-19
720,-25
721,17
722,27
723,27
724,23
725,-23
726,15
727,32
728,-27
729,-37
730,32
731,-25
732,-41
733,-16
734,36
735,35
736,-37
737,-45
738,-46
739,-28
740,-29
741,-10
742,26
743,-21
744,-46
745,32
746,19
747,-39
748,23
749,12
750,20
751,19
752,36
753,28
754,40
755,22
756,23
757,-41
758,-49
759,14
760,21
761,19
762,-23
763,36
764,43
765,-29
766,42
767,25
768,33
769,29
770,37
771,22
772,-20
773,-12
774,44
775,25
776,-25
777,16
778,34
779,12
780,-20
781,24
782,-8
783,28
784,-28
785,14
786,-14
787,21
788,-28
789,-17
790,-14
791,-42
792,33
793,16
794,-36
795,-4
796,-27
797,21
798,-14
799,-29
800,-18
801,-34
802,39
803,-43
804,-16
805,25
806,5
807,43
808,-32
809,-13
810,-23
811,-22
812,8
813,-34
814,15
815,26
816,11
817,33
818,25
819,-27
820,-37
821,-27
822,-8
823,-31
824,26
825,26
826,-14
827,-36
828,28
829,30
830,26
831,18
832,35
833,-7
834,-14
835,-23
836,39
837,-14
838,19
839,29
840,21
841,33
842,36
843,-38
844,30
845,-35
846,-17
847,22
848,-20
849,18
850,37
851,-29
852,-23
853,-21
854,32
855,-15
856,26
857,19
858,31
859,-24
860,15
861,45
862,-39
863,29
864,30
865,-27
866,-20
867,6
868,18
869,-37
870,-30
871,-20
872,23
873,-3
874,38
875,23
876,-35
877,31
878,-35
879,38
880,27
881,-20
882,-33
883,-19
884,-21
885,32
886,32
887,25
888,-20
889,-14
890,-28
891,-27
892,-31
893,36
894,-19
895,-20
896,26
897,-22
898,19
899,26
900,-32
901,34
902,33
903,30
904,-30
905,-21
906,27
907,12
908,-14
909,15
910,-3
911,-14
912,17
913,-23
914,38
915,37
916,28
917,-27
918,-19
919,-7
920,20
921,26
922,21
923,-31
924,-16
925,40
926,-25
927,17
928,-22
929,-1
930,-16
931,-32
932,-31
933,-41
934,-17
935,27
936,29
937,33
938,-29
939,23
940,23
941,31
942,-37
943,34
944,36
945,-18
946,27
947,-4
948,-21
949,21
950,20
951,25
952,23
953,15
954,35
955,7
956,26
957,-13
958,19
959,-29
960,12
961,13
962,-38
963,-23
964,10
965,-33
966,-29
967,30
968,-17
969,-48
970,-7
971,-26
972,-42
973,22
974,22
975,13
976,-22
977,-31
978,-23
979,-42
980,9
981,-43
982,25
983,24
984,28
985,26
986,26
987,-16
988,-24
989,-48
990,36
991,-39
992,-34
993,-28
994,-16
995,-31
996,-26
997,33
998,19
999,-40
