Wert,Fehler
83.56117580747166,10
40.01804214967946,10
43.297563299160046,10
66.45907992167994,10
31.238719546896604,10
55.347433413669165,10
27.910780482227693,10
40.82415838212432,10
47.98764260370957,10
42.453668823945975,10
47.21640135751604,10
51.41292725230882,10
32.531428506796665,10
51.60852668564739,10
39.187995653350974,10
57.94391961618956,10
63.31126478660421,10
54.754808808473705,10
36.13389587888513,10
55.26195056411839,10
58.35402400924148,10
36.75456344412744,10
49.35520578811821,10
50.82187641337676,10
50.97402247177143,10
42.434840649302416,10
62.991307235291586,10
53.024760332164874,10
40.576722987428745,10
50.1207615254156,10
54.74330458970718,10
50.735995363104514,10
60.78075607650004,10
34.690942853045286,10
40.17779655570003,10
61.62846211994835,10
45.368561704186355,10
52.337184833083874,10
58.58869507319926,10
44.18243468964545,10
46.513326769249744,10
34.65918067587161,10
29.454507022832274,10
59.42474105335448,10
38.36992597589009,10
57.32564717377671,10
62.273268933472536,10
50.39330857065699,10
32.1152738579071,10
62.275992822447094,10
38.5754551575492,10
52.08978222418178,10
54.00880046994861,10
65.951446009614,10
49.27560454819701,10
41.97436957097846,10
39.86282069970031,10
53.091039298787535,10
47.71320690353875,10
39.55838491241816,10
40.672118940827374,10
56.39933311597682,10
29.884649022688944,10
46.27685486520218,10
41.87534142553339,10
51.46802593613952,10
52.74119581738294,10
71.4204368628126,10
51.05001388596329,10
39.43279168062691,10
37.43845457896832,10
40.687711549524614,10
57.240541379812015,10
51.087239520402704,10
56.598935863013324,10
27.968588521002452,10
39.59467827782993,10
39.05577352772501,10
34.36530265194899,10
62.1949058067341,10
59.14540817742463,10
65.44877519971277,10
46.26709505238263,10
50.28622780899747,10
58.58231340622257,10
44.62534816831976,10
51.77322853406736,10
46.06799959841531,10
42.23123541975821,10
60.20825631952499,10
68.37142652650206,10
63.25501265647414,10
58.095407103234976,10
62.17848185956353,10
55.96167284504698,10
52.13018169313601,10
51.085124351714306,10
56.50298506132508,10
52.92762036016116,10
50.806997827331806,10
62.94400908252008,10
42.132370392910744,10
46.02903420877068,10
61.66771171500727,10
49.34764258076611,10
48.13171994167715,10
45.0385264325761,10
46.55194565124943,10
56.45121983040766,10
64.20751002958178,10
57.130029337930864,10
55.372728381192864,10
43.1764575358919,10
50.81251250779698,10
35.826922674949714,10
62.057635046992246,10
55.319770630804975,10
61.03341780128953,10
32.820291863674555,10
57.41381072485221,10
46.06547032791322,10
43.37220995588276,10
67.68879824124028,10
38.97643011607751,10
64.01783077449427,10
31.011560223978055,10
29.45688241687554,10
47.78899525984115,10
52.26493306443476,10
41.142563727390794,10
77.16870102315767,10
36.726842360688046,10
58.35228232912106,10
45.5895331957888,10
64.30969227510334,10
53.06695962083217,10
85.37720801048964,10
59.32831419921162,10
47.56812057382002,10
56.53484052452525,10
46.42873205298472,10
53.99097778537302,10
57.874548431099996,10
